帳號:abc12345 人物:小小B 領取交易序號:4399(380064) 數量:1 完成!! 時間：2023-06-28 00:08:32.101
帳號:larry1104 人物:光仔 領取交易序號:4355(44070) 數量:200 完成!! 時間：2023-06-28 00:20:34.74
帳號:larry1104 人物:光仔 領取交易序號:4356(93003) 數量:1000 完成!! 時間：2023-06-28 00:20:34.744
帳號:acme1234 人物:那個誰 領取交易序號:4362(93003) 數量:1000 完成!! 時間：2023-06-28 00:28:42.276
帳號:54199285 人物:強強滾 領取交易序號:4351(93003) 數量:5000 完成!! 時間：2023-06-28 00:33:36.345
帳號:69666 人物:舔 領取交易序號:4354(93003) 數量:1000 完成!! 時間：2023-06-28 02:07:34.533
帳號:whi1121 人物:二少 領取交易序號:4360(93003) 數量:1000 完成!! 時間：2023-06-28 03:47:08.131
帳號:ooxx1987 人物:虛竹 領取交易序號:4359(93003) 數量:1000 完成!! 時間：2023-06-28 07:46:00.905
帳號:19801007 人物:K雷夢貢拎桃 領取交易序號:4400(41412) 數量:44 完成!! 時間：2023-06-28 11:18:50.971
帳號:ccaa741205 人物:天灰灰 領取交易序號:4369(93003) 數量:1000 完成!! 時間：2023-06-28 14:15:44.907
帳號:05283766 人物:星巴克 領取交易序號:4402(380064) 數量:1 完成!! 時間：2023-06-28 14:51:05.845
帳號:11271127 人物:三個六 領取交易序號:4404(380064) 數量:1 完成!! 時間：2023-06-28 17:24:59.705
帳號:05283765 人物:哭阿又吸奶 領取交易序號:4403(380064) 數量:1 完成!! 時間：2023-06-28 17:42:48.784
帳號:7788990 人物:YIJIU 領取交易序號:4405(44105) 數量:20 完成!! 時間：2023-06-28 18:09:30.384
帳號:asdf01 人物:7788不要9 領取交易序號:4408(44104) 數量:20 完成!! 時間：2023-06-28 18:29:51.076
帳號:shan 人物:姍姍來遲 領取交易序號:4406(44105) 數量:20 完成!! 時間：2023-06-28 18:35:22.603
帳號:qazpoiwer 人物:天卞 領取交易序號:4384(93003) 數量:1000 完成!! 時間：2023-06-28 19:23:37.522
帳號:0204sex888 人物:F168 領取交易序號:4409(380064) 數量:1 完成!! 時間：2023-06-28 19:56:48.172
